Date,Open,High,Low,Close,Adj Close,Volume
2005/9/16,15033.08008,15035.4502,14965.98047,14983.2002,14983.2002,281685400
2005/9/20,14994.76953,15252.83984,14943.61035,15241.86035,15241.86035,424561400
2005/9/21,15207.08008,15271.91016,15162.59961,15223.62012,15223.62012,338187000
2005/9/22,15144.54981,15194.00977,15119.99023,15179.9502,15179.9502,297848400
2005/9/23,15169.04004,15169.87988,15045.54004,15143.96973,15143.96973,269944600
2005/9/26,15166.16016,15279.04004,15127.99023,15274.30957,15274.30957,293050400
2005/9/27,15286.51953,15312.36035,15163.66992,15189.87988,15189.87988,253552400
2005/9/28,15186.12988,15269.04004,15164.86035,15221.45996,15221.45996,312616200
2005/9/29,15248.87012,15432.9502,15241.49023,15431.25,15431.25,378787200
2005/9/30,15449.29981,15470.50977,15394.67969,15428.51953,15428.51953,351307200
2005/10/3,15399.87012,15452.28027,15369.23047,15394.38965,15394.38965,270527400
2005/10/4,15397.37988,15493,15382.20996,15382.20996,15382.20996,317223200
2005/10/5,15317.08008,15317.08008,15137.51953,15161.03027,15161.03027,427003600
2005/10/6,14943.21973,14945.96973,14823,14839.29981,14839.29981,552974000
2005/10/7,14857.19043,14899.23047,14798.91016,14847.79004,14847.79004,453735200
2005/10/10,14898.83984,14933.92969,14852.33008,14898.76953,14898.76953,280169400
2005/10/12,14880.45996,14933.12012,14557.51953,14575.01953,14575.01953,547705800
2005/10/13,14527.01953,14644.66016,14508.54004,14621.83008,14621.83008,339541800
2005/10/14,14577.37012,14577.37012,14439.12988,14485.87988,14485.87988,433301600
2005/10/17,14551.74023,14572.67969,14449.37988,14541.34961,14541.34961,310244800
2005/10/18,14585.84961,14649.70996,14563.51953,14597.40039,14597.40039,281016800
2005/10/19,14434.73047,14463.07031,14345.87012,14372.75977,14372.75977,439359200
2005/10/20,14477.54004,14524.66016,14398.96973,14408.94043,14408.94043,357183200
2005/10/21,14364.67969,14491.94043,14308.61035,14487.84961,14487.84961,507689800
2005/10/24,14470.66992,14505.55957,14321.61035,14402.34961,14402.34961,290231200
2005/10/25,14566.04981,14566.09961,14422.40039,14424.87988,14424.87988,319840600
2005/10/26,14446.96973,14474.16016,14361.75977,14458.13965,14458.13965,394435000
2005/10/27,14475.66016,14484.32031,14376.86035,14381.05957,14381.05957,270958200
2005/10/28,14282.08984,14295.88965,14189.46973,14215.83008,14215.83008,382679000
2005/10/31,14313.41992,14393.28027,14255.92969,14386.37012,14386.37012,268522400
2005/11/1,14485.34961,14591.41992,14470.58008,14572.25977,14572.25977,395000600
2005/11/2,14583.08984,14604.5,14544.65039,14597.48047,14597.48047,270334600
2005/11/3,14626.61035,14649.86035,14546.87988,14601.58984,14601.58984,264688800
2005/11/4,14660.33984,14668.53027,14536.28027,14585.79004,14585.79004,254565600
2005/11/7,14498.83984,14503.46973,14353.90039,14365.79004,14365.79004,310755600
2005/11/8,14420.54981,14435.24023,14317.50977,14403.2002,14403.2002,259478400
2005/11/9,14440.61035,14626.59961,14417.46973,14597.54981,14597.54981,329370000
2005/11/10,14586.00977,14642.84961,14567.54981,14633.33008,14633.33008,251755600
2005/11/11,14668.23047,14808.46973,14655.73047,14740.59961,14740.59961,322659000
2005/11/14,14760.40039,14772.92969,14541.99023,14629.49023,14629.49023,273048000
2005/11/15,14573.51953,14671.01953,14518.75,14627.41016,14627.41016,254867800
2005/11/16,14632.40039,14683.99023,14603.7002,14650.54004,14650.54004,217729000
2005/11/17,14672.79981,14788.62012,14620.41992,14787.98047,14787.98047,331421400
2005/11/18,14915,14924.62012,14865.80957,14883.32031,14883.32031,381015600
2005/11/21,14939.7002,14942.07031,14843.87012,14885.57031,14885.57031,242625000
2005/11/22,14881.91992,14897.79981,14806.95996,14885.65039,14885.65039,197108000
2005/11/23,14961.92969,15071.23047,14925.71973,15062.34961,15062.34961,393797800
2005/11/24,15111.03027,15117.87988,15042.29981,15084.38965,15084.38965,262069400
2005/11/25,15053.91992,15100.94043,15027.75977,15081.46973,15081.46973,231676200
2005/11/28,15099.62988,15133.87988,15073.54981,15100,15100,183583400
2005/11/29,15058.99023,15062.01953,14958.78027,15028.75977,15028.75977,226451800
2005/11/30,15028.74023,15072.83984,14936.90039,14937.13965,14937.13965,304252400
2005/12/1,14881.21973,15068.03027,14866.09961,15068.03027,15068.03027,412240200
2005/12/2,15178.09961,15232.32031,15129.29004,15200.37988,15200.37988,377939200
2005/12/5,15208.86035,15208.86035,15145.15039,15158.82031,15158.82031,222779400
2005/12/6,15156.83984,15161.87988,14967.78027,14990.61035,14990.61035,376164400
2005/12/7,15026.91992,15134.9502,14960.21973,15134.9502,15134.9502,335154000
2005/12/8,15095.17969,15095.17969,14860.54004,14879.16016,14879.16016,348480000
2005/12/9,14905.57031,14953.33984,14870.95996,14910.50977,14910.50977,232244400
2005/12/12,14991.62012,15079.95996,14972.05957,14984.40039,14984.40039,199318800
2005/12/13,14981.23047,14995.62988,14863.83984,14942.62012,14942.62012,330070000
2005/12/14,14981.4502,14981.4502,14867.71973,14976.25977,14976.25977,278860600
2005/12/15,15039.62988,15078.91992,15025.54004,15059.01953,15059.01953,318937000
2005/12/16,15077.98047,15078.37012,14967.78027,15029.80957,15029.80957,306449400
2005/12/19,15044.90039,15200.11035,15044.90039,15182.88965,15182.88965,310365600
2005/12/20,15172.12988,15200.7002,15128.58984,15169.16992,15169.16992,250971000
2005/12/21,15219.26953,15272.71973,15210.92969,15221.41992,15221.41992,243252200
2005/12/22,15251.09961,15252.4502,15170.91992,15182.53027,15182.53027,243697200
2005/12/23,15208.83984,15226.03027,15182.63965,15183.58008,15183.58008,164157400
2005/12/28,15076.94043,15173.48047,15049.41016,15101.54004,15101.54004,215911000
2005/12/29,15146.54981,15151.32031,15028.28027,15045.58984,15045.58984,266347000
2005/12/30,14959.41992,14972.2002,14811.63965,14876.42969,14876.42969,448872000
